"Date","Price","Open","High","Low","Vol.","Change %"
"03-09-2024","72,000.00","72,060.00","72,060.00","72,000.00","0.00K","-1.06%"
"02-09-2024","72,774.00","72,774.00","72,774.00","72,774.00","","0.00%"
"30-08-2024","72,774.00","72,790.00","72,839.00","72,540.00","0.01K","-0.34%"
"29-08-2024","73,022.00","73,022.00","73,022.00","73,022.00","0.00K","0.67%"
"28-08-2024","72,534.00","72,534.00","72,534.00","72,534.00","0.00K","-0.41%"
"27-08-2024","72,831.00","72,690.00","72,999.00","72,690.00","0.00K","-0.18%"
"26-08-2024","72,963.00","72,940.00","73,000.00","72,940.00","0.00K","0.72%"
"23-08-2024","72,444.00","72,250.00","72,612.00","72,250.00","0.01K","0.63%"
"22-08-2024","71,987.00","72,060.00","72,060.00","71,900.00","0.00K","-0.82%"
"21-08-2024","72,580.00","72,800.00","72,800.00","72,355.00","0.00K","-0.15%"
"20-08-2024","72,688.00","72,380.00","73,000.00","72,380.00","0.01K","0.69%"
"19-08-2024","72,193.00","72,193.00","72,193.00","72,193.00","","1.73%"
"16-08-2024","70,964.00","70,964.00","70,964.00","70,964.00","","0.00%"
"14-08-2024","70,964.00","70,964.00","70,964.00","70,964.00","0.00K","-0.78%"
"13-08-2024","71,522.00","71,522.00","71,522.00","71,522.00","","0.00%"
"12-08-2024","71,522.00","71,408.00","71,634.00","71,407.00","0.02K","1.36%"
"09-08-2024","70,564.00","70,564.00","70,564.00","70,564.00","","0.92%"
"08-08-2024","69,921.00","69,921.00","69,921.00","69,921.00","","-0.24%"
"07-08-2024","70,088.00","70,088.00","70,088.00","70,088.00","","0.00%"
"06-08-2024","70,088.00","70,088.00","70,088.00","70,088.00","0.00K","0.45%"
"05-08-2024","69,775.00","70,527.00","70,860.00","68,916.00","1.01K","-0.63%"
"02-08-2024","70,215.00","70,747.00","71,411.00","69,800.00","0.95K","-0.31%"
"01-08-2024","70,432.00","70,570.00","70,948.00","70,158.00","0.48K","0.41%"
"31-07-2024","70,143.00","69,952.00","70,173.00","69,890.00","0.23K","0.73%"
"30-07-2024","69,635.00","69,100.00","69,737.00","69,083.00","0.30K","0.79%"
"29-07-2024","69,086.00","69,371.00","69,500.00","68,884.00","0.18K","-0.10%"
"26-07-2024","69,153.00","68,800.00","69,304.00","68,636.00","0.03K","1.12%"
"25-07-2024","68,389.00","69,007.00","69,007.00","68,350.00","0.10K","-2.26%"
"24-07-2024","69,973.00","69,889.00","70,383.00","69,681.00","0.07K","0.69%"
"23-07-2024","69,495.00","73,240.00","73,458.00","69,356.00","0.18K","-5.45%"
"22-07-2024","73,503.00","73,927.00","74,000.00","73,442.00","0.03K","-0.63%"
"19-07-2024","73,971.00","74,514.00","74,540.00","73,850.00","0.02K","-1.60%"
"18-07-2024","75,170.00","75,209.00","75,274.00","74,940.00","0.01K","-0.02%"
"17-07-2024","75,188.00","75,380.00","75,380.00","74,884.00","0.01K","0.53%"
"16-07-2024","74,791.00","74,340.00","74,945.00","74,340.00","0.03K","0.76%"
"15-07-2024","74,227.00","74,018.00","74,382.00","73,800.00","0.02K","0.54%"
"12-07-2024","73,826.00","73,920.00","73,920.00","73,717.00","0.00K","-0.13%"
"11-07-2024","73,920.00","73,710.00","74,100.00","73,710.00","0.00K","0.71%"
"10-07-2024","73,399.00","73,399.00","73,399.00","73,399.00","0.00K","0.26%"
